config,fitness,distance,datapoints,eval_id
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 4, 1, 0, 0, 3]",0.7862153939791151,1.0,44.0,50.0
"[0, 0, 0, 1, 1, 0, 3, 3, 9, 3, 1, 0, 0, 3]",0.7745952063225251,4.0,58.0,51.0
"[0, 0, 0, 1, 7, 0, 3, 3, 5, 3, 1, 0, 0, 5]",0.7691755836888391,6.0,41.0,52.0
"[0, 0, 0, 1, 1, 0, 3, 3, 6, 3, 3, 0, 0, 3]",0.7725184180479131,2.0,49.0,53.0
"[0, 0, 0, 1, 1, 0, 3, 2, 5, 3, 1, 0, 0, 3]",0.7689249003656551,1.0,44.0,54.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 0, 3, 7]",0.7784179122171171,4.0,39.0,55.0
"[0, 0, 0, 1, 1, 0, 3, 8, 0, 3, 1, 0, 0, 3]",0.577276716954625,5.0,6.0,56.0
"[0, 0, 0, 1, 1, 0, 7, 3, 4, 3, 1, 0, 0, 3]",0.7704809924573051,4.0,36.0,57.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 1, 0, 3]",0.7121770891928321,1.0,25.0,58.0
"[0, 0, 4, 1, 1, 0, 3, 3, 5, 3, 1, 0, 2, 3]",0.700740036204569,4.0,91.0,59.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 2, 0, 3]",0.6776508375097811,2.0,16.0,60.0
"[0, 0, 0, 9, 1, 0, 3, 3, 5, 3, 1, 0, 0, 8]",0.7803236531466571,8.0,38.0,61.0
"[0, 0, 0, 1, 1, 0, 2, 3, 5, 6, 1, 0, 0, 3]",0.7502638786073881,3.0,42.0,62.0
"[0, 0, 0, 1, 1, 0, 1, 0, 5, 3, 1, 0, 0, 3]",0.7131417526105001,3.0,40.0,63.0
"[0, 0, 0, 1, 1, 0, 3, 7, 5, 3, 1, 0, 0, 3]",0.7639593684396171,4.0,31.0,64.0
"[0, 0, 0, 1, 1, 0, 9, 3, 8, 3, 1, 0, 0, 3]",0.784736896576927,6.0,53.0,65.0
"[0, 0, 0, 1, 6, 0, 3, 3, 5, 3, 2, 0, 0, 3]",0.760512164054102,5.0,42.0,66.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7611538223159611,0.0,38.0,67.0
"[0, 0, 0, 1, 1, 0, 6, 10, 5, 3, 1, 0, 0, 3]",0.7865567746765411,7.0,34.0,68.0
"[0, 0, 9, 1, 1, 0, 3, 3, 5, 3, 1, 0, 0, 0]",0.7016503840157671,9.0,82.0,69.0
"[0, 0, 0, 1, 4, 0, 3, 4, 5, 3, 1, 0, 0, 3]",0.76662176716742,3.0,38.0,70.0
"[0, 0, 0, 1, 7, 0, 3, 3, 5, 4, 1, 0, 0, 3]",0.7675035387453341,6.0,42.0,71.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 4, 1, 1, 0, 3]",0.7703181736786621,1.0,31.0,72.0
"[0, 0, 0, 6, 1, 0, 3, 3, 3, 3, 1, 0, 0, 3]",0.7366658804129571,5.0,29.0,73.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 0, 3, 4]",0.774460805172949,3.0,39.0,74.0
"[0, 0, 0, 1, 1, 0, 4, 3, 5, 3, 1, 0, 0, 6]",0.788344974885124,3.0,40.0,75.0
"[0, 0, 8, 1, 1, 0, 3, 3, 5, 3, 1, 1, 0, 3]",0.6804586075058481,8.0,99.0,76.0
"[0, 0, 0, 1, 1, 0, 3, 8, 5, 3, 1, 0, 1, 3]",0.7764666506654511,5.0,31.0,77.0
"[0, 0, 0, 2, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.782872663613936,1.0,40.0,78.0
"[0, 0, 5, 6, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.720093210607857,5.0,75.0,79.0
"[0, 0, 0, 9, 1, 0, 3, 3, 4, 3, 1, 0, 0, 3]",0.758354287258129,8.0,34.0,80.0
"[0, 0, 5, 1, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7154472452156181,5.0,77.0,81.0
"[0, 0, 0, 0, 1, 0, 3, 3, 3, 3, 1, 0, 0, 3]",0.737107852407425,2.0,28.0,82.0
"[0, 0, 6, 1, 1, 0, 3, 3, 5, 3, 1, 0, 1, 3]",0.707290079599867,6.0,81.0,83.0
"[0, 0, 0, 1, 1, 0, 3, 0, 5, 3, 1, 0, 2, 3]",0.737772565841708,3.0,44.0,84.0
"[0, 0, 0, 1, 0, 0, 3, 8, 5, 3, 1, 0, 0, 3]",0.6192698156774781,5.0,18.0,85.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7800735546759301,0.0,40.0,86.0
"[0, 0, 0, 2, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7739721106407991,1.0,40.0,87.0
"[0, 0, 0, 1, 1, 0, 0, 3, 5, 10, 1, 0, 0, 3]",0.7119086806954601,7.0,48.0,88.0
"[0, 0, 6, 0, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7067976604312171,6.0,84.0,89.0
"[0, 0, 0, 5, 1, 0, 3, 3, 5, 3, 1, 0, 2, 3]",0.7695927742544421,4.0,40.0,90.0
"[0, 0, 0, 1, 3, 0, 3, 3, 5, 3, 1, 0, 0, 2]",0.763935370187495,2.0,42.0,91.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 6, 1, 0, 0, 3]",0.765842739481554,3.0,42.0,92.0
